epoch,loss,val_loss
0,0.227254025764,0.230731392503
1,0.174135774311,0.174592467546
2,0.131325561774,0.128759571314
3,0.0956362832527,0.0905824187398
4,0.0661095061923,0.059632306993
5,0.0429311208743,0.0364036127925
6,0.0264015254344,0.0209941741079
7,0.0161536122885,0.0124117527902
8,0.010853178225,0.00859585039318
9,0.0086360664612,0.00731134030968
10,0.0078919540777,0.00700930550694
11,0.00768447620991,0.0069738856703
12,0.00762993025582,0.00698118932545
13,0.00761171301207,0.0069865622744
14,0.00760149247096,0.00698741067201
15,0.00759309099817,0.00698606476188
16,0.00758506644466,0.00698391355574
17,0.00757703146901,0.00698147587478
18,0.00756887186188,0.0069789179042
19,0.00756058579121,0.00697628900409
20,0.00755216413912,0.00697360958904
21,0.0075436288558,0.00697087015957
22,0.00753499433236,0.00696809258312
23,0.00752626543162,0.0069652704522
24,0.00751746476675,0.0069624151662
25,0.00750859491172,0.00695954624563
26,0.0074996699508,0.00695665728301
27,0.00749070169424,0.00695376038551
28,0.0074817018171,0.00695085998625
29,0.00747267386612,0.00694796793163
30,0.00746363284702,0.00694508526474
31,0.00745458598742,0.00694221984595
32,0.00744554004435,0.00693937838078
33,0.00743650394429,0.00693656746298
34,0.0074274847945,0.00693379040807
35,0.00741849004851,0.00693105384707
36,0.0074095270701,0.00692836359143
37,0.00740060293988,0.00692572169006
38,0.00739172491703,0.0069231338799
39,0.00738289502698,0.00692060500383
40,0.00737412358433,0.00691813658923
41,0.00736541392763,0.00691573370248
42,0.00735677396227,0.00691339928657
43,0.00734820166974,0.00691113550216
44,0.00733970856527,0.00690894499421
45,0.00733129529606,0.00690683130175
46,0.0073229681663,0.0069047954306
47,0.00731473120809,0.00690283939242
48,0.00730658249468,0.00690096501261
49,0.00729853303124,0.00689917303622
