epoch,loss,val_loss
0,0.331738111148,0.276968330145
1,0.301438452877,0.24622669816
2,0.27226383388,0.216983452439
3,0.244439805012,0.189359977841
4,0.218053604548,0.163520976901
5,0.193144071675,0.139466524124
6,0.169769714543,0.117385476828
7,0.148107057695,0.0973392128944
8,0.128133264757,0.079420723021
9,0.109938317938,0.0636841654778
10,0.093635892868,0.0502144619823
11,0.0792553039698,0.0389890745282
12,0.0668181581566,0.0299616567791
13,0.0562813139592,0.0230026952922
14,0.0475589497445,0.017925042659
15,0.0405318215489,0.0144994230941
16,0.0350237221959,0.0124323228374
17,0.0308191453035,0.0114309713244
18,0.0277171210028,0.0111852064729
19,0.0254792720366,0.0114176375791
20,0.0238948710836,0.0118985949084
21,0.0227830003374,0.0124565577134
22,0.0219978137085,0.0129779335111
23,0.0214309146198,0.0134017849341
24,0.0210051468072,0.0137056522071
25,0.020670011525,0.0138936480507
26,0.0203924295994,0.013983476907
27,0.0201524307521,0.0139974905178
28,0.0199375290137,0.0139576978981
29,0.01973984465,0.0138827906922
30,0.019554214638,0.0137871727347
31,0.0193771328491,0.0136812003329
32,0.0192060648535,0.0135717038065
33,0.0190395112794,0.0134628899395
34,0.0188762477098,0.013356924057
35,0.0187155454491,0.0132550345734
36,0.0185571731856,0.0131573453546
37,0.0184008400601,0.0130636850372
38,0.0182465784538,0.0129735525697
39,0.0180944181406,0.0128865046427
40,0.0179444200144,0.0128019535914
41,0.0177966446258,0.0127197252586
42,0.0176512216719,0.0126393958926
43,0.0175081976618,0.012560733594
44,0.0173676288758,0.0124836191535
45,0.0172295244267,0.0124079147354
46,0.017093903686,0.0123335616663
47,0.016960713382,0.0122605152428
48,0.0168300457872,0.012188764289
49,0.0167018330728,0.0121183115989
