Date,RetailSales,CPI,NFP,IPI
2008-07-06,-2734,-0.3259999999999934,-267,-1.519599999999997
2008-07-13,-2734,-0.3259999999999934,-267,-1.519599999999997
2008-07-20,-2734,-0.3259999999999934,-267,-1.519599999999997
2008-07-27,-2734,-0.3259999999999934,-267,-1.519599999999997
2008-08-03,-5805,0.18700000000001182,-450,-4.343600000000009
2008-08-10,-5805,0.18700000000001182,-450,-4.343600000000009
2008-08-17,-5805,0.18700000000001182,-450,-4.343600000000009
2008-08-24,-5805,0.18700000000001182,-450,-4.343600000000009
2008-08-31,-5805,0.18700000000001182,-450,-4.343600000000009
2008-09-07,-13383,-1.882000000000005,-474,0.9123000000000019
2008-09-14,-13383,-1.882000000000005,-474,0.9123000000000019
2008-09-21,-13383,-1.882000000000005,-474,0.9123000000000019
2008-09-28,-13383,-1.882000000000005,-474,0.9123000000000019
2008-10-05,-13010,-3.842000000000013,-766,-1.1968999999999994
2008-10-12,-13010,-3.842000000000013,-766,-1.1968999999999994
2008-10-19,-13010,-3.842000000000013,-766,-1.1968999999999994
2008-10-26,-13010,-3.842000000000013,-766,-1.1968999999999994
2008-11-02,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-11-09,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-11-16,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-11-23,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-11-30,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-12-07,4582,0.5349999999999966,-793,-2.2116999999999933
2008-12-14,4582,0.5349999999999966,-793,-2.2116999999999933
2008-12-21,4582,0.5349999999999966,-793,-2.2116999999999933
2008-12-28,4582,0.5349999999999966,-793,-2.2116999999999933
2009-01-04,-1028,0.7720000000000198,-702,-0.5927999999999969
2009-01-11,-1028,0.7720000000000198,-702,-0.5927999999999969
2009-01-18,-1028,0.7720000000000198,-702,-0.5927999999999969
2009-01-25,-1028,0.7720000000000198,-702,-0.5927999999999969
2009-02-01,-5368,-0.21000000000000796,-823,-1.4476000000000084
2009-02-08,-5368,-0.21000000000000796,-823,-1.4476000000000084
2009-02-15,-5368,-0.21000000000000796,-823,-1.4476000000000084
2009-02-22,-5368,-0.21000000000000796,-823,-1.4476000000000084
2009-03-01,1148,0.21399999999999864,-687,-0.8036999999999921
2009-03-08,1148,0.21399999999999864,-687,-0.8036999999999921
2009-03-15,1148,0.21399999999999864,-687,-0.8036999999999921
2009-03-22,1148,0.21399999999999864,-687,-0.8036999999999921
2009-03-29,1148,0.21399999999999864,-687,-0.8036999999999921
2009-04-05,2985,0.3130000000000166,-349,-0.9451999999999998
2009-04-12,2985,0.3130000000000166,-349,-0.9451999999999998
2009-04-19,2985,0.3130000000000166,-349,-0.9451999999999998
2009-04-26,2985,0.3130000000000166,-349,-0.9451999999999998
2009-05-03,5298,1.7679999999999723,-471,-0.3774000000000086
2009-05-10,5298,1.7679999999999723,-471,-0.3774000000000086
2009-05-17,5298,1.7679999999999723,-471,-0.3774000000000086
2009-05-24,5298,1.7679999999999723,-471,-0.3774000000000086
2009-05-31,5298,1.7679999999999723,-471,-0.3774000000000086
2009-06-07,656,-0.06399999999999295,-329,0.916000000000011
2009-06-14,656,-0.06399999999999295,-329,0.916000000000011
2009-06-21,656,-0.06399999999999295,-329,0.916000000000011
2009-06-28,656,-0.06399999999999295,-329,0.916000000000011
2009-07-05,6498,0.7189999999999941,-213,0.9723999999999933
2009-07-12,6498,0.7189999999999941,-213,0.9723999999999933
2009-07-19,6498,0.7189999999999941,-213,0.9723999999999933
2009-07-26,6498,0.7189999999999941,-213,0.9723999999999933
2009-08-02,-8059,0.4159999999999968,-220,0.6694999999999993
2009-08-09,-8059,0.4159999999999968,-220,0.6694999999999993
2009-08-16,-8059,0.4159999999999968,-220,0.6694999999999993
2009-08-23,-8059,0.4159999999999968,-220,0.6694999999999993
2009-08-30,-8059,0.4159999999999968,-220,0.6694999999999993
2009-09-06,3125,0.6480000000000246,-204,0.29070000000000107
2009-09-13,3125,0.6480000000000246,-204,0.29070000000000107
2009-09-20,3125,0.6480000000000246,-204,0.29070000000000107
2009-09-27,3125,0.6480000000000246,-204,0.29070000000000107
2009-10-04,2721,0.7249999999999943,-2,0.3674999999999926
2009-10-11,2721,0.7249999999999943,-2,0.3674999999999926
2009-10-18,2721,0.7249999999999943,-2,0.3674999999999926
2009-10-25,2721,0.7249999999999943,-2,0.3674999999999926
2009-11-01,1719,0.11299999999999955,-275,0.24540000000000362
2009-11-08,1719,0.11299999999999955,-275,0.24540000000000362
2009-11-15,1719,0.11299999999999955,-275,0.24540000000000362
2009-11-22,1719,0.11299999999999955,-275,0.24540000000000362
2009-11-29,1719,0.11299999999999955,-275,0.24540000000000362
2009-12-06,233,0.14099999999999113,23,1.0370999999999952
2009-12-13,233,0.14099999999999113,23,1.0370999999999952
2009-12-20,233,0.14099999999999113,23,1.0370999999999952
