Date,minor,Adj Close,High,Low,Open,Volume
2015-12-31,^GSPC,2043.939941,2062.540039,2043.619995,2060.590088,2655330000.0
2016-01-04,^GSPC,2012.660034,2038.199951,1989.680054,2038.199951,4304880000.0
2016-01-05,^GSPC,2016.709961,2021.939941,2004.1700440000002,2013.780029,3706620000.0
2016-01-06,^GSPC,1990.2600100000002,2011.709961,1979.050049,2011.709961,4336660000.0
2016-01-07,^GSPC,1943.089966,1985.319946,1938.8299559999998,1985.319946,5076590000.0
2016-01-08,^GSPC,1922.030029,1960.4000239999998,1918.459961,1945.969971,4664940000.0
2016-01-11,^GSPC,1923.6700440000002,1935.6500239999998,1901.0999760000002,1926.119995,4607290000.0
2016-01-12,^GSPC,1938.680054,1947.380005,1914.3499760000002,1927.8299559999998,4887260000.0
2016-01-13,^GSPC,1890.280029,1950.3299559999998,1886.410034,1940.339966,5087030000.0
2016-01-14,^GSPC,1921.839966,1934.469971,1878.930054,1891.680054,5241110000.0
2016-01-15,^GSPC,1880.3299559999998,1916.680054,1857.8299559999998,1916.680054,5468460000.0
2016-01-19,^GSPC,1881.3299559999998,1901.439941,1864.5999760000002,1888.660034,4928350000.0
2016-01-20,^GSPC,1859.3299559999998,1876.180054,1812.290039,1876.180054,6416070000.0
2016-01-21,^GSPC,1868.9899899999998,1889.8499760000002,1848.97998,1861.459961,5078810000.0
2016-01-22,^GSPC,1906.9000239999998,1908.8499760000002,1877.4000239999998,1877.4000239999998,4901760000.0
2016-01-25,^GSPC,1877.0799559999998,1906.280029,1875.969971,1906.280029,4401380000.0
2016-01-26,^GSPC,1903.630005,1906.72998,1878.790039,1878.790039,4357940000.0
2016-01-27,^GSPC,1882.949951,1916.9899899999998,1872.699951,1902.52002,4754040000.0
2016-01-28,^GSPC,1893.359985,1902.959961,1873.6500239999998,1885.219971,4693010000.0
2016-01-29,^GSPC,1940.2399899999998,1940.2399899999998,1894.0,1894.0,5497570000.0
2016-02-01,^GSPC,1939.380005,1947.199951,1920.300049,1936.939941,4322530000.0
2016-02-02,^GSPC,1903.030029,1935.2600100000002,1897.290039,1935.2600100000002,4463190000.0
2016-02-03,^GSPC,1912.530029,1918.0100100000002,1872.22998,1907.069946,5172950000.0
2016-02-04,^GSPC,1915.449951,1927.3499760000002,1900.52002,1911.6700440000002,5193320000.0
2016-02-05,^GSPC,1880.050049,1913.069946,1872.6500239999998,1913.069946,4929940000.0
2016-02-08,^GSPC,1853.439941,1873.25,1828.459961,1873.25,5636460000.0
2016-02-09,^GSPC,1852.209961,1868.25,1834.939941,1848.459961,5183220000.0
2016-02-10,^GSPC,1851.859985,1881.5999760000002,1850.319946,1857.0999760000002,4471170000.0
2016-02-11,^GSPC,1829.0799559999998,1847.0,1810.0999760000002,1847.0,5500800000.0
2016-02-12,^GSPC,1864.780029,1864.780029,1833.4000239999998,1833.4000239999998,4696920000.0
2016-02-16,^GSPC,1895.5799559999998,1895.77002,1871.439941,1871.439941,4570670000.0
2016-02-17,^GSPC,1926.819946,1930.680054,1898.800049,1898.800049,5011540000.0
2016-02-18,^GSPC,1917.8299559999998,1930.0,1915.089966,1927.569946,4436490000.0
2016-02-19,^GSPC,1917.780029,1918.780029,1902.1700440000002,1916.7399899999998,4142850000.0
2016-02-22,^GSPC,1945.5,1946.699951,1924.439941,1924.439941,4054710000.0
2016-02-23,^GSPC,1921.27002,1942.380005,1919.439941,1942.380005,3890650000.0
2016-02-24,^GSPC,1929.800049,1932.0799559999998,1891.0,1917.560059,4317250000.0
2016-02-25,^GSPC,1951.699951,1951.8299559999998,1925.410034,1931.869995,4118210000.0
2016-02-26,^GSPC,1948.050049,1962.959961,1945.780029,1954.949951,4348510000.0
2016-02-29,^GSPC,1932.22998,1958.27002,1931.810059,1947.130005,4588180000.0
2016-03-01,^GSPC,1978.3499760000002,1978.3499760000002,1937.089966,1937.089966,4819750000.0
2016-03-02,^GSPC,1986.449951,1986.5100100000002,1968.800049,1976.5999760000002,4666610000.0
2016-03-03,^GSPC,1993.4000239999998,1993.689941,1977.369995,1985.5999760000002,5081700000.0
2016-03-04,^GSPC,1999.9899899999998,2009.130005,1986.77002,1994.0100100000002,6049930000.0
