Date,minor,Close,High,Low,Volume,Open
2012-01-03,TSLA,28.08,29.5,27.65,928100.0,28.940001000000002
2012-01-04,TSLA,27.709999,28.67,27.5,630100.0,28.209999
2012-01-05,TSLA,27.120001000000002,27.93,26.85,1005500.0,27.76
2012-01-06,TSLA,26.91,27.790001,26.41,986300.0,27.200001
2012-01-09,TSLA,27.25,27.49,26.120001000000002,897000.0,27.0
2012-01-10,TSLA,27.620001000000002,27.76,27.25,671800.0,27.440001000000002
2012-01-11,TSLA,28.23,28.379998999999998,27.299999,672300.0,27.620001000000002
2012-01-12,TSLA,28.25,28.620001000000002,27.809998999999998,729300.0,28.48
2012-01-13,TSLA,22.790001,28.5,22.639999,5500400.0,28.4
2012-01-17,TSLA,26.6,27.34,26.41,4651600.0,26.620001000000002
2012-01-18,TSLA,26.809998999999998,26.879998999999998,26.25,1260200.0,26.690001000000002
2012-01-19,TSLA,26.76,27.74,26.610001,1246300.0,27.190001000000002
2012-01-20,TSLA,26.6,27.0,26.4,662300.0,26.9
2012-01-23,TSLA,26.77,27.209999,26.6,594600.0,26.809998999999998
2012-01-24,TSLA,27.42,27.68,26.440001000000002,858000.0,26.629998999999998
2012-01-25,TSLA,27.969998999999998,28.01,27.049999,611200.0,27.27
2012-01-26,TSLA,28.940001000000002,29.58,28.0,1271100.0,28.07
2012-01-27,TSLA,29.33,29.719998999999998,28.5,748400.0,28.5
2012-01-30,TSLA,29.57,29.610001,28.530001000000002,729000.0,29.49
2012-01-31,TSLA,29.07,30.0,28.870001000000002,956400.0,29.9
2012-02-01,TSLA,29.58,29.700001,29.0,523200.0,29.07
2012-02-02,TSLA,30.25,30.879998999999998,29.610001,805700.0,29.719998999999998
2012-02-03,TSLA,31.15,31.33,30.25,764500.0,30.41
2012-02-06,TSLA,31.799999,31.9,31.049999,652100.0,31.1
2012-02-07,TSLA,31.6,31.799999,30.82,1021600.0,31.799999
2012-02-08,TSLA,31.93,32.009997999999996,31.290001,623700.0,31.6
2012-02-09,TSLA,32.580002,32.900002,31.43,1277100.0,32.0
2012-02-10,TSLA,31.1,32.27,29.84,1874200.0,32.259997999999996
2012-02-13,TSLA,31.49,32.060001,30.9,1157900.0,31.549999
2012-02-14,TSLA,33.169998,33.790001000000004,31.4,1810800.0,31.74
2012-02-15,TSLA,33.599998,34.41,32.27,2761800.0,33.099998
2012-02-16,TSLA,34.18,34.509997999999996,32.540001000000004,2219700.0,33.5
2012-02-17,TSLA,34.970001,34.970001,33.5,1376700.0,33.990002000000004
2012-02-21,TSLA,34.5,34.869999,33.810001,1135800.0,34.869999
2012-02-22,TSLA,34.220001,34.720001,32.5,1654600.0,34.5
2012-02-23,TSLA,34.529999,34.970001,33.560001,820400.0,33.990002000000004
2012-02-24,TSLA,33.75,34.52,33.27,959900.0,34.23
2012-02-27,TSLA,33.619999,34.0,33.0,606000.0,33.41
2012-02-28,TSLA,33.810001,34.439999,33.169998,612200.0,33.639998999999996
2012-02-29,TSLA,33.41,34.119999,33.139998999999996,535700.0,33.810001
2012-03-01,TSLA,34.41,34.5,33.310001,703500.0,33.509997999999996
2012-03-02,TSLA,34.040001000000004,34.5,33.709998999999996,550000.0,34.400002
2012-03-05,TSLA,33.77,34.400002,33.459998999999996,467000.0,34.349998
2012-03-06,TSLA,33.110001000000004,33.279999,32.619999,573800.0,33.25
2012-03-07,TSLA,33.119999,33.310001,32.91,364900.0,33.119999
2012-03-08,TSLA,33.07,33.490002000000004,33.040001000000004,633300.0,33.110001000000004
2012-03-09,TSLA,34.740002000000004,35.310001,33.200001,1553400.0,33.200001
2012-03-12,TSLA,36.009997999999996,36.290001000000004,34.599998,1963300.0,34.689999
2012-03-13,TSLA,36.09,36.59,35.5,1001600.0,36.509997999999996
2012-03-14,TSLA,35.290001000000004,36.0,34.799999,851500.0,36.0
2012-03-15,TSLA,35.0,35.48,34.779999,571600.0,35.279999
2012-03-16,TSLA,35.32,35.889998999999996,34.830002,729300.0,34.900002
2012-03-19,TSLA,34.98,35.32,34.540001000000004,1015600.0,35.259997999999996
